公司代號,公司名稱,市場別,財簽事務所,財簽會計師,[永續報告書] 狀態,[永續報告書] 申報日,[永續報告書] 有會計師確信,[永續報告書] 確信出具者,[永續報告書] 確信準則,[永續報告書] 確信等級,[永續報告書] 確信範圍,[永續報告書] 有第三方查證,[永續報告書] 查證機構,[永續報告書] 查證標準,[永續報告書] 確信者為安永,[溫室氣體] 已申報,[溫室氣體] 範疇一排放量,[溫室氣體] 範疇二排放量,[溫室氣體] 範疇一確信範圍,[溫室氣體] 範疇一確信意見,[溫室氣體] 有確信報告,[溫室氣體] 確信報告出具者,[溫室氣體] 出具者類型,[溫室氣體] 確信者為安永,【綜合】重疊態樣,【綜合】待補資料,資料來源,需人工確認
8040,九暘,上櫃,安永聯合會計師事務所,胡慎緁、楊雨霓,已出版,2026/08/31,否,,,,,否,,,無確信,是,13.1442,340.8799,已完成母公司,有限保證等級,是,Bureau Veritas Certification Hong Kong Limited,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8040&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8040&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8054,安國,上櫃,安永聯合會計師事務所,徐榮煌、陳智忠,已出版,2026/08/19,否,,,,,否,,,無確信,是,29.2749,235.8144,N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8054&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8054&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8059,凱碩,上櫃,安永聯合會計師事務所,陳智忠、余倩如,已出版,2026/08/31,否,,,,,否,,,無確信,是,22.9200,525.8100,已完成合併財務報表之母子公司,合理保證等級,是,立恩威國際驗證股份有限公司（DNV）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8059&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8059&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8083,瑞穎,上櫃,安永聯合會計師事務所,徐榮煌、楊弘斌,已出版,2026/07/29,否,,,,,否,,,無確信,是,739.6449,"2,924.6464",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8083&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8083&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8104,錸寶,上市,安永聯合會計師事務所,陳國帥、鄭清標,已出版,2026/08/27,否,,,,,否,,,無確信,是,47.4899,"7,395.5343",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8104&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8104&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8176,智捷,上櫃,安永聯合會計師事務所,劉榮進、張正道,已出版,2026/08/10,是,安永聯合會計師事務所,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,是,是,7.1100,88.4000,N/A,,否,,,無確信,僅永續報告書確信重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8176&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8176&year=2025&lang=zh-TW,否
8401,白紗科,上櫃,安永聯合會計師事務所,?清淵、羅文振,已出版,2026/08/26,否,,,,,否,,,無確信,是,"1,722.9368","4,536.7204",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8401&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8401&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8424,惠普,上櫃,安永聯合會計師事務所,王瑄瑄、劉慧媛,已出版,2026/08/24,是,利安達平和聯合會計師事務所 Reanda Taiwan,確信準則3000號(原公報第一號),有限確信,永續報告書符合GRI永續性報導準則,否,,,否,是,"5,511.5530","7,049.8647",已完成母公司,合理保證等級,是,立恩威國際驗證股份有限公司（DNV）,驗證／查驗機構,否,無重疊,兩線齊備,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8424&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8424&year=2025&lang=zh-TW,是：溫室氣體確信報告：DNV 意見書內文所載組織為「國產建材實業集團」而非惠普，疑上傳錯檔
8450,霹靂,上櫃,安永聯合會計師事務所,王彥鈞、劉慧媛,已出版,2026/08/12,否,,,,,否,,,無確信,否,,,,,不適用,,,不適用,無重疊,未申報溫室氣體,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=1&year=2025&companyCode=8450&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=1&companyCode=8450&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
8462,柏文,上市,安永聯合會計師事務所,李芳文、洪國森,已出版,2026/08/31,否,,,,,否,,,無確信,是,"1,545.8400","28,106.4000",N/A,,否,,,無確信,無重疊,溫室氣體未確信,永續報告書 https://esggenplus.twse.com.tw/inquiry/report?market=0&year=2025&companyCode=8462&lang=zh-TW　｜溫室氣體 https://esggenplus.twse.com.tw/inquiry/info/individual?market=0&companyCode=8462&year=2025&lang=zh-TW,是：永續報告書已出版但確信與查證欄全空、亦未附任何文件，須翻 PDF 附錄複核
